Complete a frase "Quem planta colhe,..."?;Recompensas
Complete a frase "A mentira tem,..."?;perna curta
Complete a frase "A pressa é a inimiga da,..."?;perfeição
Complete a frase "A união faz a,..."?;Força
Complete a frase "Águas passadas não movem,..."?;Moinhos
Complete a frase "Antes só do que mal,..."?;Acompanhado
Complete a frase "As aparências,..."?;Enganam
Complete a frase "Cachorro que late,..."?;Não morde
Complete a frase "Cada cabeça uma,..."?;sentença
Complete a frase "Cada macaco no seu,..."?;Galho
Complete a frase "Casa de ferreiro,..."?;Espeto de Pau
Complete a frase "Cavalo dado não se olha os,..."?;Dentes
Complete a frase "De grão em grão a galinha,..."?;Enche o Papo
Complete a frase "Depois da tempestade vem a,..."?;Bonança
Complete a frase "Devagar com o andor que o,..."?;Santo é de Barro
Complete a frase "Em boca fechada,..."?;Não Entra Mosca
Complete a frase "Em rio que tem piranha,..."?;Jacaré nada de costas
Complete a frase "Esmola demais até,..."?;Santo Desconfia
Complete a frase "Filho de peixe,..."?;Peixinho é
Complete a frase "Gato escaldado tem medo de,..."?;água fria
Complete a frase "Mais vale um pássaro na mão do que,..."?;dois voando
Complete a frase "Melhor prevenir que,..."?;Remediar
Complete a frase "Roupa suja se lava,..."?;em casa
Complete a frase "Não cutuque a onça com,..."?;vara curta
Complete a frase "Não grite sua felicidade, a inveja tem,..."?;sono leve
Complete a frase "O bom filho,..."?;à casa torna
Complete a frase "O que não mata,..."?;engorda
Complete a frase "O que os olhos não veem o,..."?;coração não sente
Complete a frase "Os últimos serão,..."?;os primeiros
Complete a frase "Para bom entendedor,..."?;meia palavra basta
Complete a frase "Quem vê cara,..."?;não vê coração
